status	read_id	taxid	V4	V5	domain	phylum	class	order	family	genus	species
C	M06338:88:000000000-JCJ4V:1:2111:13089:10219	9672	237|88	4:203 |:| 4:20 9672:5 4432:2 0:3 9672:1 0:8 4:1 0:9 46958:5	Holozoa	Labyrinthulomycetes	NA	NA	Thraustochytriaceae	Schizochytrium	NA
C	M06338:88:000000000-JCJ4V:1:2111:10256:10231	49640	251|211	4:110 49599:3 4:5 49640:6 48920:4 49640:16 48920:1 4:5 47666:1 4:5 48920:1 4:2 49640:29 4:29 |:| 4:64 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:40 47666:1 4:31 49640:18	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:2111:19002:10242	44318	227|213	1:5 3:31 43869:5 44160:1 43869:1 44160:3 3:7 44311:2 44160:9 44311:27 43869:4 44311:1 43869:5 3:7 43869:12 3:1 43869:14 44311:5 43869:10 3:1 43869:7 3:3 43869:5 3:27 |:| 3:27 43869:5 3:3 43869:7 3:1 43869:10 44311:5 43869:14 3:1 43869:12 3:7 43869:5 44311:1 43869:4 44311:27 44160:9 44311:2 3:7 44160:3 43869:1 44160:1 43869:5 3:3 44318:5 0:1 3:11 3303:2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Cloacibacterium	NA
C	M06338:88:000000000-JCJ4V:1:2111:9267:10586	49640	250|227	4:64 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:40 47666:1 4:31 49640:29 4:2 48920:1 4:5 47666:1 4:5 48920:1 49640:13 |:| 4:110 49599:3 4:5 49640:6 48920:4 49640:16 48920:1 4:5 47666:1 4:5 48920:1 4:2 49640:29 4:5	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:2111:22434:10602	1688	211|201	3:7 43344:1 3:18 1672:6 3:1 1672:13 1673:6 1688:17 1680:1 1688:14 3:1 1673:3 3:89 |:| 3:89 1673:3 3:1 1688:14 1680:1 1688:17 1673:6 1672:13 3:1 1672:6 3:16	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
C	M06338:88:000000000-JCJ4V:1:2111:17966:10645	1707	231|73	3:25 1673:1 3:5 1672:1 3:8 1673:2 1674:5 3:2 1680:3 3:5 1707:10 1680:1 1707:15 3:1 1680:4 3:100 1:2 3:7 |:| 3:7 1:2 3:30	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	NA
C	M06338:88:000000000-JCJ4V:1:2111:14515:10885	49640	250|238	4:110 49599:3 4:5 49640:6 48920:4 49640:16 48920:1 4:5 47666:1 4:5 48920:1 4:2 49640:29 4:28 |:| 4:64 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:40 47666:1 4:31 49640:29 4:2 48920:1 4:5 47666:1 4:5 48920:1 4:1	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:2111:16054:11120	47962	251|192	1:11 4:64 1:3 4:1 1:9 4:35 47962:24 47666:33 4:3 47962:4 4:5 47962:11 47673:9 4:5 |:| 4:23 1:5 4:8 46958:5 47666:1 4:9 1:20 4:18 47572:1 4:7 47572:7 4:2 47572:1 4:4 47572:7 4:1 47572:5 4:27 48101:1 4:6	Nucletmycea	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
C	M06338:88:000000000-JCJ4V:1:2111:18176:11474	49640	251|213	4:110 49599:3 4:5 49640:6 48920:4 49640:16 48920:1 4:5 47666:1 4:5 48920:1 4:2 49640:29 4:29 |:| 4:64 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:40 47666:1 0:10 4:10 46848:2 4:4 47664:5 49640:2 0:1 49640:17	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:2111:18347:11599	47962	250|40	4:23 1:5 4:8 46958:5 47666:1 4:9 1:20 4:18 47572:1 4:7 47572:7 4:2 47572:1 4:4 47572:7 4:1 47572:5 4:30 1:29 4:20 47673:9 47962:4 |:| 4:6	Nucletmycea	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
